tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
916,00:21.3,15:38.1,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,33,Kenmore Square,42.348706,-71.097009,4161,Subscriber,2000,1
394,00:33.0,07:07.1,189,Kendall T,42.36242784,-71.08495474,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,5515,Subscriber,1991,1
480,00:52.5,08:53.0,9,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,3061,Customer,1969,0
800,01:05.5,14:25.8,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,199,Upham's Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148,3309,Subscriber,1983,1
758,01:13.4,13:52.3,56,Dudley Square - Dudley St at Warren St,42.32984299,-71.08386572,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,743,Subscriber,1977,1
261,01:33.8,05:55.6,124,Curtis Hall - South St at Centre St,42.309054,-71.11543,273,Forest Hills,42.300923,-71.114249,3241,Subscriber,1989,2
1096,01:36.4,19:52.9,189,Kendall T,42.36242784,-71.08495474,358,Medford St at Charlestown BCYF,42.38042947,-71.06055722,4565,Customer,1969,0
1198,01:43.2,21:42.1,151,Surface Rd at India St,42.358155,-71.052163,31,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,3063,Customer,1983,1
269,01:55.6,06:25.3,26,Washington St at Waltham St,42.341522,-71.068922,364,Tremont St at Northampton St,42.3388956,-71.08149976,2646,Subscriber,1989,1
857,02:42.3,16:59.5,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,66,Allston Green District - Griggs St at Commonwealth Ave,42.34922469,-71.13275303,5028,Subscriber,1990,1
629,03:25.9,13:55.3,79,Beacon St at Washington / Kirkland,42.37842,-71.105668,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,3428,Subscriber,1984,2
567,03:36.5,13:03.6,358,Medford St at Charlestown BCYF,42.38042947,-71.06055722,194,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,3519,Subscriber,1992,1
98,04:07.0,05:45.1,380,Mass Ave at Albany St,42.36135838,-71.09670274,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,5370,Subscriber,1994,1
